host_response_time,count,mean,median,std
within_an_hour,8315,71.87348165965123,65.0,37.565013649749766
a_few_days_or_more,184,69.02717391304348,66.5,39.12170055435564
within_a_day,759,67.11989459815547,60.0,39.71474955120573
within_a_few_hours,1428,66.68557422969188,60.0,39.03793837635814
